,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Benton,1,US,1602134873,87,36.33,-94.33,64.4,4.63
85,Butaritari,97,KI,1602134432,80,3.07,172.79,82.08,13.02
86,Acapulco de Juárez,44,MX,1602134423,82,16.86,-99.89,79.54,5.3
87,Mahébourg,40,MU,1602134518,74,-20.41,57.7,78.8,18.34
88,Coelho Neto,34,BR,1602134874,89,-4.26,-43.01,72.88,2.91
89,Bathsheba,40,BB,1602134236,83,13.22,-59.52,80.6,9.17
90,Airai,100,TL,1602134476,78,-8.93,125.41,73.27,3.22
91,Plettenberg Bay,80,ZA,1602134875,78,-34.05,23.37,63.34,4.05
92,Kapaa,1,US,1602134432,69,22.08,-159.32,82.4,11.41
93,Wolgast,78,DE,1602134875,89,54.05,13.77,52.0,1.01
94,Iracoubo,78,GF,1602134875,84,5.48,-53.2,79.83,8.14
95,Mollendo,82,PE,1602134876,77,-17.02,-72.01,60.04,5.61
96,Coquimbo,19,CL,1602134429,93,-29.95,-71.34,50.0,4.7
97,Naica,0,MX,1602134876,25,27.85,-105.48,68.95,7.05
98,Tuktoyaktuk,90,CA,1602134876,95,69.45,-133.04,32.0,6.93
99,Manggar,58,ID,1602134876,67,-2.88,108.27,86.27,13.22
100,Cherskiy,99,RU,1602134498,96,68.75,161.3,28.24,11.72
101,Katangli,0,RU,1602134877,51,51.71,143.23,53.49,8.75
102,Saint-Augustin,100,CA,1602134467,96,51.23,-58.65,50.74,6.85
103,Noumea,20,NC,1602134757,65,-22.28,166.46,77.0,19.46
104,Makakilo City,75,US,1602134877,65,21.35,-158.09,82.4,3.36
105,Vershino-Darasunskiy,3,RU,1602134878,57,52.35,115.52,45.18,10.25
106,Hermanus,67,ZA,1602134436,94,-34.42,19.23,57.0,4.59
107,Kabinda,100,CD,1602134482,91,-6.13,24.48,69.24,3.42
108,Zabul Province,0,AF,1602134878,23,32.25,67.25,66.24,6.69
109,Payo,100,ID,1602134879,86,-3.75,103.64,80.42,2.84
110,Uíge,97,AO,1602134879,95,-7.61,15.06,65.88,2.91
111,Long Branch,1,US,1602134700,58,40.3,-73.99,63.0,10.29
112,Esperance,40,AU,1602134714,56,-33.87,121.9,68.0,13.87
113,Vestmannaeyjar,2,IS,1602134460,82,63.44,-20.27,41.22,13.33
114,Cape Town,40,ZA,1602134393,82,-33.93,18.42,60.01,5.82
115,Nabire,77,ID,1602134880,67,-3.37,135.48,84.85,2.51
